"Timestamp","Age","Gender","Purchase_Frequency","Purchase_Categories","Personalized_Recommendation_Frequency_6","Browsing_Frequency","Product_Search_Method","Search_Result_Exploration","Customer_Reviews_Importance","Add_to_Cart_Browsing","Cart_Completion_Frequency","Cart_Abandonment_Factors","Saveforlater_Frequency","Review_Left","Review_Reliability","Review_Helpfulness","Personalized_Recommendation_Frequency_18","Recommendation_Helpfulness","Rating_Accuracy","Shopping_Satisfaction","Service_Appreciation","Improvement_Areas","Purchase_Frequency_Encode"
2023-06-05,24,"Female","Multiple times a week","Groceries and Gourmet Food","Yes","Few times a week","categories","Multiple pages",1,"Maybe","Rarely","Changed my mind or no longer need the item","Sometimes","Yes","Moderately","No",2,"No",2,3,"User-friendly website/app interface","Product quality and accuracy",5
2023-06-05,22,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","No","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Often","No","Heavily","Yes",3,"Sometimes",2,2,"Wide product selection","Shipping speed and reliability",1
2023-06-05,23,"Female","Less than once a month","Beauty and Personal Care","No","Few times a month","categories","Multiple pages",4,"Yes","Sometimes","Found a better price elsewhere","Rarely","No","Occasionally","Sometimes",3,"Yes",3,5,"Wide product selection","Reducing packaging waste",1
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion;others","Sometimes","Few times a week","categories","Multiple pages",1,"Yes","Often","others","Often","No","Heavily","Yes",3,"Sometimes",2,2,"User-friendly website/app interface","Shipping speed and reliability",3
2023-06-05,24,"Female","Less than once a month","Clothing and Fashion","Yes","Few times a month","Keyword","Multiple pages",4,"Yes","Sometimes","Found a better price elsewhere","Rarely","No","Occasionally","Yes",4,"Yes",5,4,"Competitive prices","Reducing packaging waste",1
2023-06-05,25,"Female","Few times a month","Groceries and Gourmet Food;Clothing and Fashion;others","No","Few times a week","Keyword","Multiple pages",5,"Yes","Often","High shipping costs","Never","Yes","Heavily","Yes",2,"Sometimes",3,4,"Wide product selection","Product quality and accuracy",3
2023-06-05,23,"Female","Less than once a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","No","Few times a week","Keyword","First page",5,"Maybe","Often","Changed my mind or no longer need the item","Always","No","Heavily","Yes",4,"No",3,4,"Competitive prices","Customer service responsiveness",1
2023-06-05,23,"Female","Less than once a month","others","No","Rarely","others","First page",3,"No","Never","others","Never","No","Occasionally","Sometimes",5,"No",3,3,"Wide product selection","Product quality and accuracy",1
2023-06-05,23,"Female","Less than once a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","Yes","Multiple times a day","Keyword","Multiple pages",1,"Yes","Often","Found a better price elsewhere","Always","Yes","Heavily","Yes",1,"Yes",2,1,"Wide product selection","Reducing packaging waste",1
2023-06-05,23,"Male","Multiple times a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others","Yes","Few times a week","Keyword","Multiple pages",1,"Yes","Often","Found a better price elsewhere","Rarely","Yes","Heavily","Yes",3,"Yes",1,1,"Competitive prices","Customer service responsiveness",5
2023-06-05,24,"Female","Less than once a month","others","Sometimes","Multiple times a day","Keyword","Multiple pages",1,"Yes","Rarely","Found a better price elsewhere","Rarely","Yes","Heavily","Yes",3,"Sometimes",3,1,"Wide product selection","Product quality and accuracy",1
2023-06-05,24,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","No","Multiple times a day","Keyword","First page",4,"Yes","Always","Changed my mind or no longer need the item","Often","No","Occasionally","Sometimes",2,"Yes",2,1,"Wide product selection","Shipping speed and reliability",3
2023-06-05,23,"Female","Less than once a month","Beauty and Personal Care;Home and Kitchen","Sometimes","Rarely","categories","Multiple pages",1,"Maybe","Often","Found a better price elsewhere","Rarely","No","Moderately","Yes",2,"Sometimes",2,2,"Wide product selection","Reducing packaging waste",1
2023-06-05,29,"Male","Once a month","Clothing and Fashion","Sometimes","Few times a week","categories","Multiple pages",1,"Yes","Often","Changed my mind or no longer need the item","Often","No","Moderately","Yes",2,"Yes",2,2,"Competitive prices","Customer service responsiveness",2
2023-06-05,19,"Female","Few times a month","Clothing and Fashion","Yes","Few times a week","Keyword","Multiple pages",5,"Yes","Always","Found a better price elsewhere","Rarely","Yes","Rarely","Yes",3,"Yes",3,5,"Competitive prices","Shipping speed and reliability",3
2023-06-05,26,"Female","Less than once a month","others","Yes","Few times a month","Keyword","Multiple pages",1,"Yes","Sometimes","High shipping costs","Sometimes","Yes","Moderately","Yes",1,"Yes",2,2,"Competitive prices","Product quality and accuracy",1
2023-06-05,32,"Male","Less than once a month","others","No","Rarely","Keyword","First page",1,"No","Always","Changed my mind or no longer need the item","Never","No","Moderately","Yes",1,"No",4,1,"Customer service","Nothing",1
2023-06-05,30,"Female","Once a month","Home and Kitchen","No","Few times a month","Filter","Multiple pages",2,"Yes","Sometimes","Found a better price elsewhere","Often","Yes","Moderately","Yes",1,"No",4,1,"User-friendly website/app interface","Reducing packaging waste",2
2023-06-05,22,"Female","Less than once a month","Beauty and Personal Care;others","No","Few times a month","others","Multiple pages",1,"Yes","Rarely","Found a better price elsewhere","Often","No","Moderately","Sometimes",5,"Yes",3,2,"User-friendly website/app interface","Product quality and accuracy",1
2023-06-05,26,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion","Yes","Multiple times a day","categories","Multiple pages",1,"Yes","Sometimes","High shipping costs","Never","Yes","Moderately","No",2,"Yes",2,2,"User-friendly website/app interface","Shipping speed and reliability",3
2023-06-05,24,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","No","Few times a week","Keyword","Multiple pages",1,"Yes","Always","High shipping costs","Always","Yes","Heavily","Yes",1,"Yes",1,1,"Wide product selection","Customer service responsiveness",1
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","Yes","Few times a month","Keyword","Multiple pages",5,"Yes","Sometimes","High shipping costs","Always","No","Heavily","Yes",4,"Yes",4,4,"Wide product selection","Product quality and accuracy",3
2023-06-05,24,"Female","Less than once a month","Clothing and Fashion","Sometimes","Few times a month","Filter","Multiple pages",3,"Maybe","Rarely","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",3,"Sometimes",3,3,"Product recommendations","Product quality and accuracy",1
2023-06-05,23,"Female","Few times a month","others","No","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Always","No","Heavily","Yes",4,"Sometimes",3,3,"Wide product selection","Product quality and accuracy",3
2023-06-05,24,"Male","Few times a month","Clothing and Fashion","No","Few times a month","Keyword","Multiple pages",1,"Yes","Always","Changed my mind or no longer need the item","Often","No","Heavily","Yes",1,"Yes",1,2,"User-friendly website/app interface","Product quality and accuracy",3
2023-06-05,23,"Female","Once a month","Beauty and Personal Care;Home and Kitchen","No","Few times a month","Keyword","Multiple pages",1,"Yes","Rarely","Changed my mind or no longer need the item","Never","No","Heavily","Yes",5,"No",4,3,"Competitive prices","Customer service responsiveness",2
2023-06-05,25,"Male","Less than once a month","others","Sometimes","Few times a week","Keyword","First page",4,"Yes","Often","Changed my mind or no longer need the item","Often","Yes","Heavily","Yes",3,"Sometimes",3,3,"Wide product selection","Product quality and accuracy",1
2023-06-05,24,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","No","Few times a month","Keyword","Multiple pages",1,"Yes","Often","Found a better price elsewhere","Rarely","No","Heavily","Yes",1,"Yes",2,2,"User-friendly website/app interface","Shipping speed and reliability",1
2023-06-05,21,"Female","Few times a month","Home and Kitchen","No","Few times a month","Keyword","First page",1,"Yes","Rarely","Changed my mind or no longer need the item","Often","Yes","Heavily","Yes",1,"Sometimes",3,1,"User-friendly website/app interface","Reducing packaging waste",3
2023-06-05,23,"Female","Less than once a month","Clothing and Fashion","No","Few times a month","Keyword","Multiple pages",1,"Maybe","Rarely","Changed my mind or no longer need the item","Never","No","Moderately","Yes",3,"Sometimes",3,3,"Wide product selection","Reducing packaging waste",1
2023-06-05,26,"Female","Less than once a month","Beauty and Personal Care;Home and Kitchen","No","Rarely","Filter","Multiple pages",1,"Maybe","Sometimes","High shipping costs","Sometimes","Yes","Heavily","Yes",4,"Yes",2,2,"Product recommendations","Shipping speed and reliability",1
2023-06-05,23,"Female","Few times a month","Clothing and Fashion;others","Yes","Few times a week","Keyword","First page",1,"Yes","Sometimes","Found a better price elsewhere","Sometimes","Yes","Moderately","Yes",1,"Sometimes",3,2,"Wide product selection","Product quality and accuracy",3
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion","Yes","Few times a month","Keyword","Multiple pages",4,"Yes","Sometimes","High shipping costs","Sometimes","Yes","Heavily","Yes",3,"No",3,3,"Product recommendations","Reducing packaging waste",3
2023-06-05,40,"Male","Few times a month","Beauty and Personal Care;Home and Kitchen","No","Few times a week","Keyword","Multiple pages",1,"Yes","Often","Changed my mind or no longer need the item","Never","Yes","Heavily","Yes",4,"Sometimes",2,1,"Competitive prices","Reducing packaging waste",3
2023-06-05,25,"Female","Once a month","Beauty and Personal Care","Sometimes","Few times a month","categories","Multiple pages",5,"Maybe","Sometimes","Found a better price elsewhere","Often","No","Moderately","Sometimes",3,"Sometimes",3,3,"Wide product selection","Customer service responsiveness",2
2023-06-05,24,"Male","Once a month","others","Sometimes","Few times a week","Keyword","Multiple pages",4,"Yes","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Moderately","Sometimes",4,"Sometimes",1,2,"Wide product selection","Shipping speed and reliability",2
2023-06-05,23,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","No","Few times a month","Keyword","First page",4,"Yes","Sometimes","Changed my mind or no longer need the item","Sometimes","Yes","Rarely","Sometimes",3,"Sometimes",3,3,"User-friendly website/app interface","Product quality and accuracy",1
2023-06-05,24,"Male","Less than once a month","others","Sometimes","Few times a month","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Never","Yes","Heavily","Yes",2,"Yes",3,2,"User-friendly website/app interface","Shipping speed and reliability",1
2023-06-05,24,"Male","Less than once a month","others","No","Few times a week","categories","Multiple pages",1,"Maybe","Never","Changed my mind or no longer need the item","Rarely","No","Heavily","Yes",3,"Sometimes",3,3,"Wide product selection","Product quality and accuracy",1
2023-06-05,24,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","Sometimes","Few times a month","categories","First page",3,"Maybe","Sometimes","Changed my mind or no longer need the item","Sometimes","No","Occasionally","Sometimes",3,"Yes",3,3,"Product recommendations","Customer service responsiveness",1
2023-06-05,26,"Male","Few times a month","others","No","Few times a week","Keyword","Multiple pages",4,"Yes","Often","Changed my mind or no longer need the item","Rarely","Yes","Occasionally","Yes",3,"Yes",3,4,"Competitive prices","Product quality and accuracy",3
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Home and Kitchen;others","Sometimes","Few times a month","categories","First page",1,"Yes","Sometimes","Found a better price elsewhere","Often","No","Heavily","Yes",2,"Sometimes",3,3,"Wide product selection","Product quality and accuracy",3
2023-06-05,23,"Female","Few times a month","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","No","Few times a week","categories","Multiple pages",1,"Yes","Sometimes","Changed my mind or no longer need the item","Never","No","Heavily","Yes",3,"Sometimes",3,1,"Wide product selection","Product quality and accuracy",3
2023-06-05,24,"Female","Once a month","others","Sometimes","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Sometimes","Yes","Occasionally","Yes",3,"Yes",3,2,"User-friendly website/app interface","Product quality and accuracy",2
2023-06-05,23,"Male","Less than once a month","others","No","Few times a month","Keyword","First page",1,"Maybe","Rarely","High shipping costs","Never","No","Moderately","Sometimes",3,"Sometimes",3,3,"Wide product selection","better app interface and lower shipping charges",1
2023-06-05,24,"Female","Less than once a month","Beauty and Personal Care;Clothing and Fashion","Yes","Few times a month","Keyword","Multiple pages",1,"Yes","Often","Changed my mind or no longer need the item","Often","Yes","Moderately","Yes",1,"Yes",2,2,"Competitive prices","Product quality and accuracy",1
2023-06-05,36,"Female","Once a month","Home and Kitchen;others","Sometimes","Multiple times a day","Keyword","Multiple pages",5,"Yes","Often","Changed my mind or no longer need the item","Never","Yes","Heavily","No",2,"Sometimes",3,1,"User-friendly website/app interface","Shipping speed and reliability",2
2023-06-05,26,"Male","Less than once a month","Home and Kitchen","No","Rarely","Filter","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Sometimes","Yes","Moderately","Yes",1,"Yes",2,1,"Wide product selection","Product quality and accuracy",1
2023-06-05,31,"Male","Once a month","Home and Kitchen;others","No","Few times a month","Keyword","First page",1,"Yes","Sometimes","Changed my mind or no longer need the item","Often","No","Heavily","Yes",4,"Sometimes",3,1,"Customer service","Reducing packaging waste",2
2023-06-05,23,"Male","Less than once a month","others","No","Rarely","categories","Multiple pages",1,"Maybe","Often","Found a better price elsewhere","Never","No","Heavily","Yes",2,"No",3,2,"User-friendly website/app interface","Reducing packaging waste",1
2023-06-05,23,"Female","Less than once a month","Home and Kitchen","Yes","Few times a month","Keyword","Multiple pages",1,"Yes","Sometimes","Changed my mind or no longer need the item","Rarely","No","Heavily","Yes",3,"Yes",2,2,"Wide product selection","Product quality and accuracy",1
2023-06-05,30,"Male","Once a week","Groceries and Gourmet Food;Home and Kitchen","Yes","Few times a week","Filter","Multiple pages",4,"Yes","Often","Found a better price elsewhere","Always","Yes","Moderately","Yes",4,"Yes",4,4,"Product recommendations","Customer service responsiveness",4
2023-06-05,24,"Female","Less than once a month","others","No","Rarely","categories","Multiple pages",2,"Yes","Sometimes","Found a better price elsewhere","Often","No","Moderately","Yes",2,"Sometimes",2,2,"Wide product selection","Product quality and accuracy",1
2023-06-05,47,"Prefer not to say","Less than once a month","others","Sometimes","Rarely","others","First page",2,"Maybe","Never","Changed my mind or no longer need the item","Never","No","Never","Sometimes",2,"No",2,2,"User-friendly website/app interface","Shipping speed and reliability",1
2023-06-05,54,"Others","Multiple times a week","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others","Yes","Multiple times a day","categories","Multiple pages",4,"Yes","Always","others","Always","Yes","Heavily","Yes",5,"Yes",5,5,"Competitive prices","Shipping speed and reliability",5
2023-06-05,58,"Male","Once a month","Clothing and Fashion;others","No","Few times a week","Keyword","Multiple pages",5,"Yes","Sometimes","Changed my mind or no longer need the item","Never","No","Never","No",4,"No",3,3,"Competitive prices","Reducing packaging waste",2
2023-06-05,53,"Female","Less than once a month","Home and Kitchen","No","Few times a week","Keyword","Multiple pages",3,"No","Rarely","Changed my mind or no longer need the item","Never","No","Moderately","Yes",2,"Yes",2,1,"Competitive prices","Reducing packaging waste",1
2023-06-06,23,"Prefer not to say","Once a week","Beauty and Personal Care","No","Multiple times a day","categories","Multiple pages",5,"Maybe","Sometimes","Found a better price elsewhere","Sometimes","Yes","Occasionally","Sometimes",3,"Sometimes",3,3,"Product recommendations","Reducing packaging waste",4
2023-06-06,25,"Others","Few times a month","Groceries and Gourmet Food;Clothing and Fashion","Yes","Few times a week","Filter","Multiple pages",5,"Maybe","Never","Changed my mind or no longer need the item","Sometimes","Yes","Occasionally","Sometimes",4,"Sometimes",3,3,"Product recommendations","Customer service responsiveness",3
2023-06-06,23,"Female","Less than once a month","Beauty and Personal Care","No","Rarely","categories","Multiple pages",1,"Maybe","Rarely","Found a better price elsewhere","Rarely","No","Occasionally","Yes",2,"Sometimes",3,2,"User-friendly website/app interface","Shipping speed and reliability",1
2023-06-06,32,"Male","Less than once a month","Clothing and Fashion;Home and Kitchen","Sometimes","Few times a week","categories","First page",4,"Maybe","Rarely","Changed my mind or no longer need the item","Rarely","No","Moderately","Sometimes",4,"Sometimes",4,4,"User-friendly website/app interface","Customer service responsiveness",1
2023-06-06,30,"Prefer not to say","Few times a month","Beauty and Personal Care;Clothing and Fashion","Yes","Few times a week","Filter","Multiple pages",5,"Yes","Often","others","Always","Yes","Heavily","Yes",5,"Sometimes",5,3,"Competitive prices","Product quality and accuracy",3
2023-06-06,28,"Others","Few times a month","Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others","No","Few times a month","Keyword","Multiple pages",3,"No","Never","High shipping costs","Never","Yes","Occasionally","No",4,"No",4,3,"Competitive prices","Shipping speed and reliability",3
2023-06-06,20,"Female","Multiple times a week","Beauty and Personal Care;Clothing and Fashion","No","Multiple times a day","categories","First page",1,"No","Often","Found a better price elsewhere","Often","No","Occasionally","Sometimes",3,"No",3,3,"Competitive prices","Reducing packaging waste",5
2023-06-06,25,"Male","Few times a month","others","No","Rarely","others","Multiple pages",1,"Maybe","Sometimes","Changed my mind or no longer need the item","Never","No","Moderately","Sometimes",2,"Sometimes",2,3,"Wide product selection","Product quality and accuracy",3
2023-06-06,55,"Others","Few times a month","Groceries and Gourmet Food","Yes","Multiple times a day","Keyword","Multiple pages",3,"Yes","Sometimes","High shipping costs","Often","Yes","Rarely","Yes",4,"Yes",3,3,"Product recommendations","Customer service responsiveness",3
2023-06-06,24,"Female","Once a month","Beauty and Personal Care;Home and Kitchen;others","No","Few times a week","Keyword","Multiple pages",2,"Yes","Rarely","High shipping costs","Always","Yes","Moderately","Yes",4,"Sometimes",3,4,"Wide product selection","Product quality and accuracy",2
2023-06-06,62,"Female","Less than once a month","Beauty and Personal Care","Sometimes","Rarely","Filter","Multiple pages",3,"Maybe","Sometimes","Found a better price elsewhere","Often","No","Never","Sometimes",5,"Yes",4,3,"User-friendly website/app interface","Shipping speed and reliability",1
2023-06-06,27,"Male","Less than once a month","others","No","Rarely","others","First page",4,"No","Never","others","Never","No","Never","No",5,"No",5,5,"Competitive prices","Customer service responsiveness",1
2023-06-06,34,"Prefer not to say","Few times a month","Beauty and Personal Care;Clothing and Fashion","Sometimes","Few times a month","categories","First page",3,"Maybe","Sometimes","Found a better price elsewhere","Rarely","No","Occasionally","No",4,"Yes",2,2,"Wide product selection","Product quality and accuracy",3
2023-06-06,40,"Female","Once a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","Sometimes","Few times a week","categories","Multiple pages",2,"Maybe","Often","Found a better price elsewhere","Often","Yes","Occasionally","Sometimes",2,"No",2,2,"Competitive prices","Shipping speed and reliability",4
2023-06-06,22,"Others","Less than once a month","others","Yes","Few times a month","categories","Multiple pages",4,"Maybe","Often","Found a better price elsewhere","Rarely","Yes","Rarely","No",3,"No",3,4,"User-friendly website/app interface","Reducing packaging waste",1
2023-06-06,34,"Prefer not to say","Few times a month","Clothing and Fashion;Home and Kitchen","No","Few times a month","categories","First page",3,"Yes","Often","Found a better price elsewhere","Often","Yes","Heavily","Yes",1,"Sometimes",2,2,"User-friendly website/app interface","Product quality and accuracy",3
2023-06-06,24,"Female","Less than once a month","Beauty and Personal Care;Home and Kitchen","No","Few times a week","Keyword","Multiple pages",1,"Yes","Sometimes","Found a better price elsewhere","Never","No","Heavily","Yes",1,"Sometimes",3,1,"User-friendly website/app interface","Product quality and accuracy",1
2023-06-06,44,"Male","Few times a month","Clothing and Fashion;others","No","Few times a month","categories","First page",5,"No","Rarely","Changed my mind or no longer need the item","Sometimes","No","Never","Sometimes",2,"Yes",3,2,"Product recommendations","Customer service responsiveness",3
2023-06-06,31,"Female","Once a month","Home and Kitchen;others","Sometimes","Rarely","others","Multiple pages",4,"No","Never","Changed my mind or no longer need the item","Often","Yes","Never","Sometimes",5,"No",4,2,"User-friendly website/app interface","Reducing packaging waste",2
2023-06-06,23,"Female","Once a week","Clothing and Fashion","Sometimes","Few times a week","categories","Multiple pages",5,"No","Rarely","others","Sometimes","No","Occasionally","Sometimes",3,"Yes",3,3,"Product recommendations","Product quality and accuracy",4
2023-06-06,23,"Female","Less than once a month","Beauty and Personal Care;others","Sometimes","Few times a month","Keyword","Multiple pages",1,"Yes","Sometimes","Changed my mind or no longer need the item","Rarely","No","Heavily","Yes",2,"Yes",2,1,"Wide product selection","Reducing packaging waste",1
2023-06-06,22,"Female","Less than once a month","Clothing and Fashion;Home and Kitchen","No","Few times a week","Keyword","Multiple pages",5,"Yes","Sometimes","Found a better price elsewhere","Never","No","Heavily","Yes",5,"Sometimes",2,3,"Competitive prices","Customer service responsiveness",1
2023-06-06,24,"Female","Once a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","Sometimes","Few times a week","Keyword","Multiple pages",1,"Yes","Often","Found a better price elsewhere","Always","Yes","Heavily","Yes",1,"Yes",1,1,"Wide product selection","Customer service responsiveness",4
2023-06-06,23,"Prefer not to say","Once a week","Beauty and Personal Care;Clothing and Fashion;Home and Kitchen","Yes","Multiple times a day","Keyword","Multiple pages",1,"Yes","Often","Found a better price elsewhere","Always","Yes","Heavily","Yes",1,"Yes",1,1,"Wide product selection","Customer service responsiveness",4
2023-06-06,25,"Male","Less than once a month","others","Yes","Few times a month","Keyword","Multiple pages",5,"Yes","Rarely","others","Never","No","Moderately","Yes",3,"Sometimes",3,3,"Wide product selection","Customer service responsiveness",1
